date,value
2022-04-01,0.1
2022-04-02,0.16
2022-04-03,0.09
2022-04-04,0.12
2022-04-05,0.12
2022-04-06,0.08
2022-04-07,0.16
2022-04-08,0.17
2022-04-09,0.15
2022-04-10,0.16
2022-04-11,0.11
2022-04-12,0.13
2022-04-13,0.11
2022-04-14,0.15
2022-04-15,0.17
2022-04-16,0.11
2022-04-17,0.15
2022-04-18,0.19
2022-04-19,0.14
2022-04-20,0.13
2022-04-21,0.16
2022-04-22,0.09
2022-04-23,0.14
2022-04-24,0.15
2022-04-25,0.13
2022-04-26,0.1
2022-04-27,0.13
2022-04-28,0.12
2022-04-29,0.18
2022-04-30,0.21
2022-05-01,0.15
2022-05-02,0.2
2022-05-03,0.11
2022-05-04,0.14
2022-05-05,0.13
2022-05-06,0.15
2022-05-07,0.13
2022-05-08,0.16
2022-05-09,0.16
2022-05-10,0.14
2022-05-11,0.09
2022-05-12,0.11
2022-05-13,0.15
2022-05-14,0.15
2022-05-15,0.14
2022-05-16,0.1
2022-05-17,0.15
2022-05-18,0.13
2022-05-19,0.17
2022-05-20,0.17
2022-05-21,0.11
2022-05-22,0.18
2022-05-23,0.15
2022-05-24,0.13
2022-05-25,0.12
2022-05-26,0.14
2022-05-27,0.16
2022-05-28,0.22
2022-05-29,0.12
2022-05-30,0.13
2022-05-31,0.15
2022-06-01,0.17
2022-06-02,0.13
2022-06-03,0.1
2022-06-04,0.2
2022-06-05,0.14
2022-06-06,0.13
2022-06-07,0.12
2022-06-08,0.19
2022-06-09,0.12
2022-06-10,0.15
2022-06-11,0.21
2022-06-12,0.19
2022-06-13,0.13
2022-06-14,0.13
2022-06-15,0.16
2022-06-16,0.12
2022-06-17,0.11
2022-06-18,0.19
2022-06-19,0.17
2022-06-20,0.24
2022-06-21,0.24
2022-06-22,0.21
2022-06-23,0.18
2022-06-24,0.13
2022-06-25,0.26
2022-06-26,0.15
2022-06-27,0.21
2022-06-28,0.2
2022-06-29,0.21
2022-06-30,0.13
