date,value
2022-10-01,0.16
2022-10-02,0.24
2022-10-03,0.16
2022-10-04,0.19
2022-10-05,0.2
2022-10-06,0.2
2022-10-07,0.19
2022-10-08,0.17
2022-10-09,0.25
2022-10-10,0.16
2022-10-11,0.17
2022-10-12,0.15
2022-10-13,0.2
2022-10-14,0.19
2022-10-15,0.19
2022-10-16,0.21
2022-10-17,0.11
2022-10-18,0.13
2022-10-19,0.11
2022-10-20,0.14
2022-10-21,0.17
2022-10-22,0.21
2022-10-23,0.16
2022-10-24,0.08
2022-10-25,0.1
2022-10-26,0.21
2022-10-27,0.18
2022-10-28,0.19
2022-10-29,0.29
2022-10-30,0.15
2022-10-31,0.1
2022-11-01,0.14
2022-11-02,0.17
2022-11-03,0.19
2022-11-04,0.13
2022-11-05,0.16
2022-11-06,0.19
2022-11-07,0.16
2022-11-08,0.13
2022-11-09,0.15
2022-11-10,0.17
2022-11-11,0.14
2022-11-12,0.18
2022-11-13,0.21
2022-11-14,0.15
2022-11-15,0.19
2022-11-16,0.14
2022-11-17,0.24
2022-11-18,0.2
2022-11-19,0.27
2022-11-20,0.2
2022-11-21,0.13
2022-11-22,0.22
2022-11-23,0.27
2022-11-24,0.23
2022-11-25,0.25
2022-11-26,0.18
2022-11-27,0.22
2022-11-28,0.3
2022-11-29,0.12
2022-11-30,0.17
2022-12-01,0.18
2022-12-02,0.14
2022-12-03,0.18
2022-12-04,0.15
2022-12-05,0.19
2022-12-06,0.22
2022-12-07,0.18
2022-12-08,0.21
2022-12-09,0.18
2022-12-10,0.22
2022-12-11,0.2
2022-12-12,0.16
2022-12-13,0.2
2022-12-14,0.19
2022-12-15,0.18
2022-12-16,0.19
2022-12-17,0.15
2022-12-18,0.17
2022-12-19,0.26
2022-12-20,0.27
2022-12-21,0.24
2022-12-22,0.22
2022-12-23,0.2
2022-12-24,0.21
2022-12-25,0.11
2022-12-26,0.35
2022-12-27,0.25
2022-12-28,0.16
2022-12-29,0.21
2022-12-30,0.19
2022-12-31,0.17
