url,frequency
www.costco.ca/,63572
www.costco.ca/CatalogSearch,30080
costco.ca/,14348
click.online.costco.ca/t,9109
www.costco.ca/LogonForm,8387
www.costco.ca/coupons.html,6562
costco.ca/CatalogSearch,5636
www.costco.ca/AjaxGetInventoryStatusUpdate,5534
www.costco.ca/CheckoutCartDisplayView,5124
www.costco.ca/Logon,3479
www.costco.ca/CheckoutCartView,3447
www.costco.ca/CostcoGLOBALSAS/images/product-zoom.cur,3288
www.costco.ca/OrderStatusCmd,3121
www.costco.ca/SinglePageCheckoutView,3009
www.costco.ca/VerifyMembershipView,2849
www.costco.ca/AjaxGetContractPrice,2752
www.costco.ca/grocery-household.html,2488
smetrics.costco.ca/,2437
www.costco.ca/OrderStatusDetailsView,2055
www.costco.ca/OAuthLogonCmd,1800
www.costco.ca/AccountInformationView,1545
www.costco.ca/CheckoutConfirmationView_v2,1408
www.costco.ca/CostcoOrderProcess,1407
www.costco.ca/treasure-hunt.html,1390
www.costco.ca/online-shopping.html,1292
www.costco.ca/laptops.html,1190
www.costco.ca/televisions.html,1119
www.costco.ca/in-the-warehouse.html,1077
media-cdn.costco.ca/www3/,1040
www.costco.ca/clothing-handbags.html,1027
www.costco.ca/warehouse-locations,1018
www.costco.ca/Logoff,1013
costco.ca/CheckoutCartDisplayView,960
www.costco.ca/hot-buys.html,956
www.costco.ca/order-quantity-update,948
www.costco.ca/AccountHomeView,947
www.costco.ca/womens-clothing.html,944
tires.costco.ca/SearchResultsByVehicle/RenderPartialView,914
www.costco.ca/membership-offer.html,899
tires.costco.ca/SearchResultsByVehicle,875
www.costco.ca/whats-new.html,844
www.costco.ca/join-costco.html,843
www.costco.ca/appliances.html,798
www.costco.ca/AjaxGetInventoryDetail,782
costco.ca/coupons.html,729
tires.costco.ca/Home,718
www.costco.ca/OrderPrepare,716
tires.costco.ca/,709
www.costco.ca/CostcoBillingPayment,692
www.costco.ca/holiday-deals.html,692
?www.costco.ca/,673
customerservice.costco.ca/,671
www.costco.ca/all-grocery-delivery.html,664
www.costco.ca/refrigerators.html,650
www.costco.ca/electronics.html,627
www.costco.ca/kmsi,625
www.costco.ca/patio-lawn-garden.html,609
www.costco.ca/mens-clothing.html,579
tires.costco.ca/Product,567
www.costco.ca/furniture.html,566
www.costco.ca/baking-packaged-food.html,553
www.costco.ca/RenewMembershipView,549
www.costco.ca/computers.html,543
www.costco.ca/ResetPassword,529
costco.ca/SinglePageCheckoutView,526
www.costco.ca/CompareProductsDisplay,520
www.costco.ca/going-gone.html,519
www.costco.ca/offers-ending.html,518
mobility.costco.ca/,515
tires.costco.ca/SizeSelection,510
tires.costco.ca/Base/SaveSearchParameters,492
www.costco.ca/kirkland-signature-products.html,474
www.costco.ca/home-and-decor.html,453
mobility.costco.ca/en/mobile-phones-and-smartphones/,451
www.costco.ca/snacks.html,447
tires.costco.ca/SearchWarehouse/IndexWithZipCode,445
costco.ca/LogonForm,422
www.costco.ca/logon-instacart,417
sameday.costco.ca/,416
costco.ca/treasure-hunt.html,412
www.costco.ca/CostcoOrderItemUpdateSmsPhoneCmd,408
www.costco.ca/auto.html,406
www.costco.ca/ForgotPasswordView,402
search.costco.ca/api/apps/www_costco_ca/query/www_costco_ca_typeahead,376
www.costco.ca/living-room-furniture.html,364
www.costco.ca/apple-brand-showcase.html,355
costco.ca/going-gone.html,347
www.costco.ca/CheckOutCmd,346
www.costco.ca/SiteMapDisplayView,344
www.costco.ca/health-beauty.html,344
www.costco.ca/ResetForgotPassword,338
www.costco.ca/patio-furniture.html,334
www.costco.ca/SecureKeyMembershipAccountVerificationCmd,328
www.costco.ca/household.html,326
www.costco.ca/RegisterView,323
www.costco.ca/mattresses.html,320
www.costco.ca/ranges.html,318
costco.ca/membership-offer.html,318
sameday.costco.ca/social-redirect/costco_idp,317
www.costco.ca/desks.html,316
www.costco.ca/LinkYourMembershipInterruptView,315
www.costco.ca/desktops.html,313
www.costco.ca/jobs.html,309
www.costco.ca/ipad.html,309
www.costco.ca/air-conditioners.html,307
www.costco.ca/QuickMembershipCheckoutCmd,306
www.costco.ca/unlocked-cellular-phones.html,303
www.costco.ca/desserts.html,303
costco.ca/OrderStatusCmd,292
