url,description
https://www.radtracker.ca/view/TmpVeU9USTJOem94L3NsMmRYXiov,"Catch the new season of Prodigal Son this Tuesday, January 12th."
https://www.radtracker.ca/view/TmpVek9ETXlNRG94L3NsMmRYXiov,Get a pack of Mr. Noodles Instant Noodles for just 24 cents.
https://www.radtracker.ca/view/TmpVME5UTXhNam94L3NsMmRYXiov,Watch the final season of Vikings on Wednesdays. 
https://www.radtracker.ca/view/TmpRMU1qWTNNam94L3NsMmRYXiov,Programming is brought to you by Walmart. 
https://www.radtracker.ca/view/TmpVek9ETXhPRG94L3NsMmRYXiov,Get Michelina's frozen entree for only $0.88.
https://www.radtracker.ca/view/TmpBNU5ERTVOem94L3NsMmRYXiov,Ask their pharmacists about making healthy choices. 
https://www.radtracker.ca/view/TmpVME5USTFNVG94L3NsMmRYXiov,Ask their pharmacists for advice on living a healthy life. 
https://www.radtracker.ca/view/TmpVMU1qYzBNVG94L3NsMmRYXiov,Get all you need in one visit.
https://www.radtracker.ca/view/TmpVMU1qWTJORG94L3NsMmRYXiov,Get 1kg of Mitchell's Gourmet Foods Thick Cut Bacon for only $9.97.
https://www.radtracker.ca/view/TmpNMU16UTJPRG94L3NsMmRYXiov,Sign up for their free loyalty program built for pros and get exclusive benefits like $20 off of your next in-store purchase of $200 or more.
https://www.radtracker.ca/view/TmpNMk1ERTROam94L3NsMmRYXiov,.
https://www.radtracker.ca/view/TmpVMU9UQTRPVG94L3NsMmRYXiov,Get HDX black and yellow storage bins from $4.98. 
https://www.radtracker.ca/view/TmpVMk5UUTNNRG94L3NsMmRYXiov,Get the Cracker Barrel Shredded Cheese for only $4.97.
https://www.radtracker.ca/view/TmpVMk9UVXdOem94L3NsMmRYXiov,Get the chance to win a $150 gift card. 
https://www.radtracker.ca/view/TmpVMk9UVTJOam94L3NsMmRYXiov,Buy you cleaning supplies online and get them delivered to you.
https://www.radtracker.ca/view/TmpVM01EZ3hOam94L3NsMmRYXiov,"Catch The Batwoman, tonight at 5pm. "
https://www.radtracker.ca/view/TmpVM05qRXpNVG94L3NsMmRYXiov,Get 4lb bag of Clementines for only $3.97.
https://www.radtracker.ca/view/TkRVMk9EZ3hNRG94L3NsMmRYXiov,Now available on any Amazon Alexa device.
https://www.radtracker.ca/view/TmpVNE5USTJOam94L3NsMmRYXiov,Get a tin of Nescafe Rich Instant Coffee for only $9.94.
https://www.radtracker.ca/view/TmpVNE9UY3lPVG94L3NsMmRYXiov,Get a box of  Deli Express Chicken Strips for just $4.97.
https://www.radtracker.ca/view/TmpVNE9UY3pNVG94L3NsMmRYXiov,Catch The Equalizer on Sunday.
https://www.radtracker.ca/view/TmpVNU5qQXhOem94L3NsMmRYXiov,Get a clover leaf tuna for just 94 cents.
https://www.radtracker.ca/view/TmpVNU5UQXpPVG94L3NsMmRYXiov,Get the bag of Ruffles chips for $1.97.
https://www.radtracker.ca/view/TmpZd01EWTFOam94L3NsMmRYXiov,Get a bag of Ruffles Chips for just $1.97.
https://www.radtracker.ca/view/TmpZd01qVTFNRG94L3NsMmRYXiov,Get a dozen premium long stem roses for just $24.97.
https://www.radtracker.ca/view/TmpZd01qVXhOVG94L3NsMmRYXiov,Get a box of Lindt Milk Chocolates for just $4.77.
https://www.radtracker.ca/view/TmpZd01qVTVNRG94L3NsMmRYXiov,Get a 12 pack Activia yogurt or a tub of Oikos greek yogurt for $3.98.
https://www.radtracker.ca/view/TmpZd05EazJNam94L3NsMmRYXiov,"When you donate to Walmart Fight Hunger Spark Change campaign, Walmart will donate up to $820000 to Food Banks Canada."
https://www.radtracker.ca/view/TmpZd09EUXlOem94L3NsMmRYXiov,Donate today and they will match up donations for up to $820000.
https://www.radtracker.ca/view/TmpZd05qRTROam94L3NsMmRYXiov,"Donate today until March 10 and they will match donations up to $820,000."
https://www.radtracker.ca/view/TmpZd056WXhOem94L3NsMmRYXiov,We match customers donations to Food Banks Canada up to 820.000$.
https://www.radtracker.ca/view/TmpZeE1ESXlORG94L3NsMmRYXiov,Catch the all new Big Brother Canada.
https://www.radtracker.ca/view/TmpZeE1UUTFNVG94L3NsMmRYXiov,Get fresh strawberries for $1.97.
https://www.radtracker.ca/view/TmpZeE5ERTNOVG94L3NsMmRYXiov,Catch the all new Big Brother Canada on March 3rd.
https://www.radtracker.ca/view/TmpZeE5qUTVOVG94L3NsMmRYXiov,Get Lancia pasta for just 87 cents.
https://www.radtracker.ca/view/TmpZeE5qUTVPVG94L3NsMmRYXiov,Get red or green seedless grapes for just $1.47 per pound.
https://www.radtracker.ca/view/TmpZeU56WXhNem94L3NsMmRYXiov,Catch the return of New Amsterdam this Tuesday.
https://www.radtracker.ca/view/TmpZeU9UTTBOVG94L3NsMmRYXiov,Get a tub of Liberte Greek Yogurt for jst $3.98.
https://www.radtracker.ca/view/TmpZeU9UVTFORG94L3NsMmRYXiov,Get fresh air chilled whole chicken for just $1.97.
https://www.radtracker.ca/view/TmpZeU9UTTJNem94L3NsMmRYXiov,Get a can of Clover Leaf salmon for just $3.47.
https://www.radtracker.ca/view/TmpZek1qYzJNam94L3NsMmRYXiov,"Catch the Big Brother Canada, on Wednesday."
https://www.radtracker.ca/view/TmpZME1ETTROVG94L3NsMmRYXiov,"Tuesday, New Amsterdam returns."
https://www.radtracker.ca/view/TmpZME1UTTBOam94L3NsMmRYXiov,"Get Janes Popcorn Chircken, Strips, nuggets and more for just $4.97."
https://www.radtracker.ca/view/TmpZME1UTTROVG94L3NsMmRYXiov,Get the Gallo olive oil for just $3.87. 
https://www.radtracker.ca/view/TmpZME5UWTRNVG94L3NsMmRYXiov,Catch New Amsterdam on Tuesday.
https://www.radtracker.ca/view/TmpZMU1EYzVNem94L3NsMmRYXiov,"Catch Punky Brewster, tonight at 8."
https://www.radtracker.ca/view/TmpZMU1EZ3pPRG94L3NsMmRYXiov,Get a can of Almer's Soup for just $0.47.
https://www.radtracker.ca/view/TmpZMU1EYzNNRG94L3NsMmRYXiov,Get a 2.5kg bag of Prairie Flour for just $1.97.
https://www.radtracker.ca/view/TmpZMU5qQTRNRG94L3NsMmRYXiov,"Catch Big Brother Canada on Monday's, Wednesday's, and Thursday's."
https://www.radtracker.ca/view/TmpZMk1qTTBNem94L3NsMmRYXiov,Get the Delissio Rising Crust Pizza for just $4.87.
https://www.radtracker.ca/view/TmpZMk1qSXpOem94L3NsMmRYXiov,Get the 110ml Purex laundry detergents for just $7.77.
https://www.radtracker.ca/view/TmpZMk1qTTFPVG94L3NsMmRYXiov,"Catch the final season of Super Girl on Tuesday, March 30th."
https://www.radtracker.ca/view/TmpZMk5qVXpPVG94L3NsMmRYXiov,Catch Clarice on April 1st.
https://www.radtracker.ca/view/TmpZMk5qVXpOem94L3NsMmRYXiov,Catch The United States of Al on April 1st.
https://www.radtracker.ca/view/TmpZM01EZzFNVG94L3NsMmRYXiov,Catch the final season of Supergirl on Tuesday.
https://www.radtracker.ca/view/TmpZM01UYzFOam94L3NsMmRYXiov,Get a Black Diamond cheese block or shreds for just $3.97.
https://www.radtracker.ca/view/TmpZM01qQTFNRG94L3NsMmRYXiov,Save $2.11 on a jar of Kraft hazelnut spread now only $3.77.
https://www.radtracker.ca/view/TmpZM016VTBOVG94L3NsMmRYXiov,Catch Clarice on Thursday.
