"","Home Improvement & Maintenance","Other","Adventure","Team Sports","Winter & Snow Removal","Garage & Outdoor","Cleaning","Christmas Holidays","Lawncare","Storage & Organization","Backyard Toys","Transport"
"Amazon",0.481839501229766,0.988045529943374,0.214265286278099,0.0531945318309215,0.0109820968941257,0.182234170336899,0.128524852714065,0.0718984156037293,0.0437567923125322,0.123091002688326,0.004404278441915,0.0118972716353029
"Costco",0.649966821499668,0.999004644990046,0.397478433974784,0.119774386197744,0.0308560053085601,0.335102853351029,0.340079628400796,0.182481751824818,0.100199071001991,0.250165892501659,0.0079628400796284,0.0282017252820173
"Canadian Tire",0.650115716389649,0.993057016621081,0.466442247001894,0.14054281506417,0.0332421628445193,0.325478645066274,0.286976646328635,0.158005470229329,0.0953082263833368,0.216494845360825,0.0079949505575426,0.0271407532084999
"Home Depot",0.730434782608696,0.988294314381271,0.395986622073579,0.116387959866221,0.0461538461538462,0.347157190635452,0.352842809364548,0.163545150501672,0.122073578595318,0.262541806020067,0.00769230769230769,0.0250836120401338
"Home Hardware",1,0.976837865055388,0.416918429003021,0.144008056394763,0.0624370594159114,0.356495468277946,0.389728096676737,0.207452165156093,0.151057401812689,0.288016112789527,0.00704934541792548,0.0342396777442095
"Lowes",0.784615384615385,0.998974358974359,0.467692307692308,0.133333333333333,0.077948717948718,0.423589743589744,0.465641025641026,0.232820512820513,0.175384615384615,0.335384615384615,0.00923076923076923,0.0297435897435897
"Rona",0.759789156626506,0.995481927710843,0.450301204819277,0.149096385542169,0.0512048192771084,0.399096385542169,0.380271084337349,0.173192771084337,0.167921686746988,0.262801204819277,0.00828313253012048,0.036144578313253
"Best Buy",0.511281965569113,0.998997158616079,0.256560254053151,0.0807287314056493,0.0188868460638476,0.230820658532509,0.19572121009527,0.114992478689621,0.064181848570951,0.181347150259067,0.00752131037940832,0.0190539862945011
"Walmart",0.600373773555521,0.995483569537455,0.329387945802834,0.103566422675596,0.0214919794424544,0.289051549602866,0.230026475626849,0.151066812023049,0.0862793957327519,0.205575455536521,0.0104345117582931,0.0239838031459274
"Hudsons Bay",0.656147271531887,0.996055226824458,0.496383957922419,0.141354372123603,0.0262984878369494,0.358974358974359,0.30637738330046,0.230769230769231,0.113083497698882,0.266272189349112,0.00854700854700855,0.0216962524654832
"IKEA",0.689634511683643,0.99700419412822,0.411024565608149,0.115638106650689,0.0263630916716597,0.346315158777711,0.372079089275015,0.1725584182145,0.135410425404434,0.400838825644098,0.0101857399640503,0.0221689634511684
"Dollarama",0.676470588235294,0.997058823529412,0.394117647058824,0.141176470588235,0.0323529411764706,0.355882352941176,0.323529411764706,0.25,0.108823529411765,0.288235294117647,0.0205882352941176,0.0323529411764706
"Wayfair",0.697160883280757,0.990536277602524,0.399842271293375,0.123422712933754,0.0260252365930599,0.378943217665615,0.332413249211356,0.188880126182965,0.121845425867508,0.30205047318612,0.0122239747634069,0.0197160883280757
"Reno Depot",0.753753753753754,1,0.432432432432432,0.162162162162162,0.0510510510510511,0.411411411411411,0.36036036036036,0.132132132132132,0.156156156156156,0.234234234234234,0.00600600600600601,0.03003003003003
