date,value
01-Oct, 0.16 
02-Oct, 0.24 
03-Oct, 0.16 
04-Oct, 0.19 
05-Oct, 0.20 
06-Oct, 0.20 
07-Oct, 0.19 
08-Oct, 0.17 
09-Oct, 0.25 
10-Oct, 0.16 
11-Oct, 0.17 
12-Oct, 0.15 
13-Oct, 0.20 
14-Oct, 0.19 
15-Oct, 0.19 
16-Oct, 0.21 
17-Oct, 0.11 
18-Oct, 0.13 
19-Oct, 0.11 
20-Oct, 0.14 
21-Oct, 0.17 
22-Oct, 0.21 
23-Oct, 0.16 
24-Oct, 0.08 
25-Oct, 0.10 
26-Oct, 0.21 
27-Oct, 0.18 
28-Oct, 0.19 
29-Oct, 0.29 
30-Oct, 0.15 
31-Oct, 0.10 
01-Nov, 0.14 
02-Nov, 0.17 
03-Nov, 0.19 
04-Nov, 0.13 
05-Nov, 0.16 
06-Nov, 0.19 
07-Nov, 0.16 
08-Nov, 0.13 
09-Nov, 0.15 
10-Nov, 0.17 
11-Nov, 0.14 
12-Nov, 0.18 
13-Nov, 0.21 
14-Nov, 0.15 
15-Nov, 0.19 
16-Nov, 0.14 
17-Nov, 0.24 
18-Nov, 0.20 
19-Nov, 0.27 
20-Nov, 0.20 
21-Nov, 0.13 
22-Nov, 0.22 
23-Nov, 0.27 
24-Nov, 0.23 
25-Nov, 0.25 
26-Nov, 0.18 
27-Nov, 0.22 
28-Nov, 0.30 
29-Nov, 0.12 
30-Nov, 0.17 
01-Dec, 0.18 
02-Dec, 0.14 
03-Dec, 0.18 
04-Dec, 0.15 
05-Dec, 0.19 
06-Dec, 0.22 
07-Dec, 0.18 
08-Dec, 0.21 
09-Dec, 0.18 
10-Dec, 0.22 
11-Dec, 0.20 
12-Dec, 0.16 
13-Dec, 0.20 
14-Dec, 0.19 
15-Dec, 0.18 
16-Dec, 0.19 
17-Dec, 0.15 
18-Dec, 0.17 
19-Dec, 0.26 
20-Dec, 0.27 
21-Dec, 0.24 
22-Dec, 0.22 
23-Dec, 0.20 
24-Dec, 0.21 
25-Dec, 0.11 
26-Dec, 0.35 
27-Dec, 0.25 
28-Dec, 0.16 
29-Dec, 0.21 
30-Dec, 0.19 
31-Dec, 0.17 
