date,value
01-Apr, 0.10 
02-Apr, 0.16 
03-Apr, 0.09 
04-Apr, 0.12 
05-Apr, 0.12 
06-Apr, 0.08 
07-Apr, 0.16 
08-Apr, 0.17 
09-Apr, 0.15 
10-Apr, 0.16 
11-Apr, 0.11 
12-Apr, 0.13 
13-Apr, 0.11 
14-Apr, 0.15 
15-Apr, 0.17 
16-Apr, 0.11 
17-Apr, 0.15 
18-Apr, 0.19 
19-Apr, 0.14 
20-Apr, 0.13 
21-Apr, 0.16 
22-Apr, 0.09 
23-Apr, 0.14 
24-Apr, 0.15 
25-Apr, 0.13 
26-Apr, 0.10 
27-Apr, 0.13 
28-Apr, 0.12 
29-Apr, 0.18 
30-Apr, 0.21 
01-May, 0.15 
02-May, 0.20 
03-May, 0.11 
04-May, 0.14 
05-May, 0.13 
06-May, 0.15 
07-May, 0.13 
08-May, 0.16 
09-May, 0.16 
10-May, 0.14 
11-May, 0.09 
12-May, 0.11 
13-May, 0.15 
14-May, 0.15 
15-May, 0.14 
16-May, 0.10 
17-May, 0.15 
18-May, 0.13 
19-May, 0.17 
20-May, 0.17 
21-May, 0.11 
22-May, 0.18 
23-May, 0.15 
24-May, 0.13 
25-May, 0.12 
26-May, 0.14 
27-May, 0.16 
28-May, 0.22 
29-May, 0.12 
30-May, 0.13 
31-May, 0.15 
01-Jun, 0.17 
02-Jun, 0.13 
03-Jun, 0.10 
04-Jun, 0.20 
05-Jun, 0.14 
06-Jun, 0.13 
07-Jun, 0.12 
08-Jun, 0.19 
09-Jun, 0.12 
10-Jun, 0.15 
11-Jun, 0.21 
12-Jun, 0.19 
13-Jun, 0.13 
14-Jun, 0.13 
15-Jun, 0.16 
16-Jun, 0.12 
17-Jun, 0.11 
18-Jun, 0.19 
19-Jun, 0.17 
20-Jun, 0.24 
21-Jun, 0.24 
22-Jun, 0.21 
23-Jun, 0.18 
24-Jun, 0.13 
25-Jun, 0.26 
26-Jun, 0.15 
27-Jun, 0.21 
28-Jun, 0.20 
29-Jun, 0.21 
30-Jun, 0.13 
